BE-eV	Intensity
2.539998	0.34397525
2.559998	0.260446625
2.569998	0.436031325
2.589998	0.349364225
2.599998	-0.266332525
2.609998	-0.9745993
2.629998	-1.24504825
2.639998	-0.98191335
2.659998	-0.44786695
2.669998	-0.0898491
2.679998	0.091237025
2.699998	0.274176875
2.709998	0.366812875
2.719998	0.090764875
2.739998	-0.46460595
2.749998	-0.744881
2.769998	-0.46649135
2.779998	0.000947449999999989
2.789998	0.0940556
2.799998	0
2.819998	-0.09596655
2.829998	-0.0954848
2.839998	0.1938617
2.859998	0.09547835
2.869998	-0.58644435
2.879998	-0.97903505
2.899998	-0.786156325
2.909998	-0.5932906
2.919998	-0.696103425
2.929998	-0.7989292
2.949998	-0.6011732
2.959998	-0.20072085
2.969998	0.305563
2.979998	0.91819275
2.999998	1.22827175
3.009998	1.027580225
3.019998	0.8269087
3.029998	0.622201025
3.039998	0.207740025
3.059998	0.1053959
3.069998	0.316707125
3.079998	0.4236414
3.089998	0.2118207
3.099998	0
3.109998	0
3.129997	0.21699845
3.139997	0.4339969
3.149997	0.21699845
3.159997	-0.110072625
3.169997	-0.3307457
3.179997	-0.4424035
3.189997	-0.4445216
3.209997	-0.44664645
3.219997	-0.561506675
3.229997	-0.789638575
3.239997	-0.90612285
3.249997	-0.6817415
3.259997	-0.227605825
3.269997	-0.11542705
3.279997	-0.4627978
3.289997	-0.812351125
3.299997	-0.815083625
3.309997	-0.349553325
3.329997	-1.74999999999481e-06
3.339997	-0.356162925
3.349997	-0.83160765
3.359997	-0.8343832
3.369997	-0.598612325
3.379997	0.00223942499999999
3.389997	0.96986495
3.399997	1.33609925
3.409997	0.607568175
3.419997	-0.9856839
3.429997	-1.97137815
3.439997	-1.1100345
3.449997	0.001141475
3.459997	0.12435065
3.469997	0.25214675
3.479997	0.88424725
3.489997	1.139284975
3.499997	0.76222725
3.509997	0.896435325
3.519997	1.6708928
3.529997	1.67498655
3.539997	0.77505285
3.549997	0.3910568
3.559997	0.91699175
3.569997	1.445305
3.579997	1.4506485
3.589997	1.059320925
3.599997	0.6662227
3.609997	0.671923125
3.619997	0.8095599
3.629997	0.677051475
3.639997	0.40780505
3.649997	-0.138573125
3.659997	-0.687387325
3.669997	-0.412063525
3.679997	0.835172425
3.689997	2.229601875
3.699997	2.72729275
3.709997	2.5321365
3.719997	2.05118775
3.729997	1.99345725
3.739997	3.00459275
3.749997	4.1649745
3.759997	5.196658
3.769997	6.3896895
3.779997	6.56845775
3.789997	5.57292475
3.799997	5.75032925
3.809997	8.1472445
3.819997	10.56194675
3.829997	9.41117475
3.839997	6.0101675
3.849997	4.688982
3.859997	5.928236
3.869997	9.40041975
3.879997	12.905573
3.889997	14.5975425
3.899997	16.454175
3.909997	20.8354975
3.919997	31.103935
3.929997	47.61567
3.939997	65.34294
3.949997	80.7878225
3.959997	95.2055925
3.969997	111.38818
3.979997	135.755725
3.989997	168.09995
3.999997	200.74425
4.009997	225.474225
4.019997	235.111075
4.029997	238.5495
4.039998	239.176
4.049998	234.142375
4.059998	231.945475
4.069998	238.3772
4.079998	258.9007
4.089999	295.4376
4.099999	337.6477
4.109999	375.5322
4.119999	414.570175
4.13	469.62705
4.14	535.8791
4.15	591.6526
4.16	632.050475
4.170001	652.7724
4.180001	639.039525
4.190001	615.530925
4.200001	609.492425
4.210001	589.068875
4.220002	540.77405
4.230002	487.18215
4.240002	437.62995
4.250002	389.66595
4.260003	328.4793
4.270003	261.074225
4.280003	214.4771
4.290003	183.210225
4.300004	154.07525
4.310004	135.370525
4.320004	132.529925
4.330004	134.183375
4.340004	128.4594
4.350005	126.83505
4.360005	132.052825
4.370005	135.631275
4.380005	145.068975
4.390006	148.6349
4.400006	133.013525
4.410006	113.98185
4.420006	107.710875
4.430007	111.67485
4.440007	115.8894
4.450007	119.3125
4.460007	118.62205
4.470007	115.242225
4.480008	119.398375
4.490008	129.515075
4.500008	147.549175
4.510008	185.744275
4.520009	243.7085
4.530009	314.36365
4.540009	391.74135
4.550009	467.5538
4.560009	556.1492
4.57001	654.61655
4.58001	721.87945
4.59001	748.038275
4.60001	743.619925
4.610011	724.45395
4.620011	701.523525
4.630011	656.208
4.640011	586.787075
4.650012	511.873475
4.660012	437.310375
4.670012	362.309275
4.680012	296.510775
4.690012	258.35925
4.700013	239.049575
4.710013	218.498925
4.720013	200.503525
4.730013	191.2559
4.740014	193.618475
4.750014	205.7733
4.760014	213.20515
4.770014	226.260825
4.780015	249.232375
4.790015	250.338325
4.800015	237.33225
4.810015	238.371675
4.820015	238.214675
4.830016	227.74035
4.840016	224.3447
4.850016	225.7521
4.860016	224.378
4.870017	223.90505
4.880017	235.432
4.890017	243.367475
4.900017	238.4109
4.910017	248.95615
4.920018	254.4138
4.930018	236.759425
4.940018	221.98155
4.950018	221.140875
4.960019	226.126225
4.970019	218.5511
4.980019	212.807875
4.990019	221.539025
5.00002	226.76115
5.01002	237.679875
5.02002	244.642525
5.03002	231.661275
5.04002	219.285525
5.050021	210.994425
5.060021	203.030475
5.070021	197.446
5.080021	193.50685
5.090022	192.849175
5.100022	191.8739
5.110022	193.219975
5.120022	191.537225
5.130023	188.606825
5.140023	193.268675
5.150023	197.715225
5.160023	201.8877
5.170023	200.95765
5.180024	189.14885
5.190024	174.85275
5.200024	181.1362
5.210024	209.693275
5.220025	231.415325
5.230025	246.771225
