wave0	wave1_smth
5.125032	952.26895
5.130032	937.406325
5.135032	945.423275
5.140032	953.08955
5.145032	938.34505
5.150033	897.8161
5.155033	856.7989
5.160033	854.66565
5.165033	858.978475
5.170033	839.23915
5.175033	819.1072
5.180033	822.1077
5.185033	834.683075
5.190033	829.668175
5.195034	827.315
5.200034	843.63725
5.205034	870.8797
5.210034	895.687125
5.215034	901.620175
5.220034	887.955725
5.225034	879.3499
5.230034	906.9091
5.235034	975.240375
5.240035	1048.8202
5.245035	1070.420525
5.250035	1054.825675
5.255035	1062.905075
5.260035	1096.296175
5.265035	1123.661875
5.270035	1142.77365
5.275035	1159.20545
5.280035	1180.42605
5.285036	1214.4942
5.290036	1271.337325
5.295036	1323.939625
5.300036	1330.61485
5.305036	1316.387025
5.310036	1324.63795
5.315036	1367.50625
5.320036	1399.9398
5.325037	1425.9587
5.330037	1475.7852
5.335037	1526.19045
5.340037	1556.074125
5.345037	1574.46205
5.350037	1625.816025
5.355037	1718.58495
5.360037	1794.865125
5.365037	1817.88065
5.370038	1829.649325
5.375038	1854.945075
5.380038	1847.45
5.385038	1789.74995
5.390038	1751.153475
5.395038	1785.578925
5.400038	1852.84455
5.405038	1896.473225
5.410038	1874.9024
5.415039	1816.825675
5.420039	1831.642
5.425039	1903.729475
5.430039	1959.100875
5.435039	2030.005675
5.440039	2124.038675
5.445039	2165.9622
5.450039	2140.044575
5.45504	2112.472425
5.46004	2119.14145
5.46504	2138.2273
5.47004	2139.969375
5.47504	2151.07965
5.48004	2208.82445
5.48504	2232.870775
5.49004	2179.239125
5.49504	2201.63095
5.500041	2304.2621
5.505041	2343.92975
5.510041	2333.3078
5.515041	2359.0633
5.520041	2380.5144
5.525041	2338.542525
5.530041	2319.66715
5.535041	2330.623925
5.540041	2320.135775
5.545042	2311.7587
5.550042	2290.736125
5.555042	2191.411925
5.560042	2082.822925
5.565042	2065.965225
5.570042	2109.331975
5.575042	2196.41335
5.580042	2241.466525
5.585042	2202.160575
5.590043	2222.038525
5.595043	2308.840625
5.600043	2358.4995
5.605043	2381.180875
5.610043	2429.6515
5.615043	2486.8177
5.620043	2538.7683
5.625043	2601.494525
5.630044	2700.6645
5.635044	2841.90375
5.640044	2967.04425
