be	'sm-int'
6.383966	349.873525
6.391966	349.796
6.399966	330.836125
6.407966	275.12
6.415966	197.68175
6.423965	162.631325
6.431965	172.1571
6.439965	167.2348025
6.447965	123.217555
6.455965	80.5305525
6.463965	53.3476875
6.471965	41.8570575
6.479965	45.2027975
6.487965	59.9102925
6.495965	64.0554125
6.503964	32.911805
6.511964	25.6015875
6.519964	55.300415
6.527964	40.133365
6.535964	8.43766
6.543964	-8.6820175
6.551964	-27.02411
6.559964	-11.27275225
6.567964	10.0352955
6.575963	-6.97842475
6.583963	-34.662225
6.591963	-22.81033075
6.599963	-23.200594
6.607963	-24.95391575
6.615963	14.581535
6.623963	33.7361275
6.631963	51.59548
6.639963	46.4065275
6.647963	19.94736
6.655962	21.619442
6.663962	20.5003615
6.671962	22.9307895
6.679962	31.4250825
6.687962	21.2922425
6.695962	-8.08348
6.703962	-22.8662445
6.711962	-14.216649
6.719962	-5.446086
6.727962	1.9290525
6.735961	16.712717
6.743961	26.370638
6.751961	25.193755
	
